review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,price_usd_log,sentiment_encoded,verified_purchase_encoded,sentiment_enc,verified_enc,brand_enc,model_enc,country_enc,cluster
2,Davi Miguel Sousa,18,Realme,Realme 12 Pro,307.78,BRL,5.7,4,Positive,Brazil,Portuguese,2023-03-30,True,3,2,4,3,2,5,Flipkart,5.732629049213781,2,1,2,1,4,15,1,1
3,Pahal Balay,27,Google,Pixel 6,864.53,INR,83.0,4,Positive,India,Hindi,2022-12-07,True,3,5,3,2,4,8,AliExpress,6.763342036060609,2,1,2,1,1,10,4,1
6,Lara Abreu,38,Apple,iPhone 14,948.79,BRL,5.7,5,Positive,Brazil,Portuguese,2023-06-27,False,5,4,5,5,4,6,AliExpress,6.856240907527273,2,0,2,0,0,19,1,1
9,Rosalia Beyer,32,Realme,Realme 12 Pro,275.73,EUR,0.93,4,Positive,Germany,German,2024-10-04,False,4,3,2,3,3,8,eBay,5.623042301587992,2,0,2,0,4,15,3,1
10,Valerie Gray,31,OnePlus,OnePlus Nord 3,545.57,AUD,1.53,3,Positive,Australia,English,2025-02-25,True,2,2,3,3,2,4,BestBuy,6.303662387245703,2,1,2,1,3,9,0,1
13,Igor Brito,18,Motorola,Moto G Power,404.64,BRL,5.7,5,Positive,Brazil,Portuguese,2024-06-03,True,5,5,3,5,5,7,AliExpress,6.005466066743796,2,1,2,1,2,6,1,1
17,Nicholas Martin,18,Google,Pixel 7a,1010.68,USD,1.0,4,Positive,USA,English,2024-06-02,True,4,4,3,4,4,9,Flipkart,6.9193675943103035,2,1,2,1,1,11,7,1
19,Erdal Beckmann,18,Xiaomi,Poco X6,432.8,EUR,0.93,5,Positive,Germany,German,2024-02-24,True,4,5,5,3,4,2,Amazon,6.072583598392774,2,1,2,1,6,13,3,1
20,Austin Gentry,43,Realme,Realme Narzo 70,403.17,AUD,1.53,5,Positive,Australia,English,2025-03-21,True,5,5,5,5,4,3,eBay,6.001835581532199,2,1,2,1,4,16,0,1
22,Derek Wright,22,Motorola,Razr 40,567.03,CAD,1.38,5,Positive,Canada,English,2025-03-12,True,3,4,5,4,4,5,AliExpress,6.342174234227796,2,1,2,1,2,14,2,1
23,Priya Rastogi,53,Motorola,Razr 40,227.18,INR,83.0,4,Positive,India,Hindi,2024-05-06,True,4,4,3,4,4,9,Amazon,5.430134791168223,2,1,2,1,2,14,4,1
24,Zachary Hicks,25,OnePlus,OnePlus Nord 3,395.08,CAD,1.38,3,Neutral,Canada,English,2023-03-12,False,4,4,3,3,3,9,Amazon,5.981616211053168,1,0,1,0,3,9,2,1
25,Shannon Hernandez,27,Apple,iPhone 15 Pro,997.61,USD,1.0,3,Neutral,USA,English,2023-06-27,True,2,4,3,3,4,2,eBay,6.906364312035996,1,1,1,1,0,20,7,1
27,Julie King,29,Motorola,Razr 40,673.77,CAD,1.38,3,Positive,Canada,English,2025-02-27,False,1,4,2,3,3,2,BestBuy,6.514371892066472,2,0,2,0,2,14,2,1
29,Nicole Mack,29,Apple,iPhone 13,1094.1,CAD,1.38,3,Positive,Canada,English,2024-04-02,True,4,3,3,3,1,3,Amazon,6.998600962281714,2,1,2,1,0,18,2,1
30,Chaaya Saran,30,Samsung,Galaxy S24,1369.88,INR,83.0,3,Positive,India,Hindi,2023-06-24,True,3,3,3,5,3,5,BestBuy,7.223208148379275,2,1,2,1,5,3,4,1
35,Paula Moreno,45,Samsung,Galaxy A55,1071.57,CAD,1.38,4,Positive,Canada,English,2022-10-22,True,4,5,5,4,2,4,Flipkart,6.977812916737572,2,1,2,1,5,1,2,1
36,Katherine Rodriguez,40,OnePlus,OnePlus Nord 3,438.64,CAD,1.38,4,Positive,Canada,English,2024-05-07,False,2,2,1,3,4,8,AliExpress,6.0859562102007,2,0,2,0,3,9,2,1
37,Wriddhish Bhardwaj,34,Apple,iPhone 14,906.6,INR,83.0,4,Positive,India,Hindi,2023-10-31,True,5,2,3,3,2,5,eBay,6.810803752905687,2,1,2,1,0,19,4,1
38,Anna Liz Barros,21,Xiaomi,Redmi Note 13,220.43,BRL,5.7,4,Positive,Brazil,Portuguese,2024-11-14,True,3,2,3,4,1,4,eBay,5.400106512450071,2,1,2,1,6,17,1,1
41,Leon Davison,19,Google,Pixel 6,512.04,GBP,0.78,3,Positive,UK,English,2023-09-16,False,4,3,2,4,3,5,Amazon,6.240353814840607,2,0,2,0,1,10,6,1
43,Michael Brooks,29,Samsung,Galaxy S24,924.51,USD,1.0,4,Positive,USA,English,2025-01-03,False,4,4,3,3,4,5,Flipkart,6.830344936925465,2,0,2,0,5,3,7,1
44,David Brown,25,Realme,Realme Narzo 70,358.68,CAD,1.38,3,Neutral,Canada,English,2022-11-23,True,3,2,4,2,4,3,BestBuy,5.885214747265271,1,1,1,1,4,16,2,1
47,Andrea Young,43,Apple,iPhone 13,1401.76,AUD,1.53,4,Positive,Australia,English,2025-08-26,True,3,1,5,3,2,8,AliExpress,7.246197003459708,2,1,2,1,0,18,0,1
48,Tanish Zacharia,36,Realme,Realme Narzo 70,238.49,INR,83.0,3,Neutral,India,Hindi,2023-05-15,False,5,3,3,2,2,2,Amazon,5.478511662325817,1,0,1,0,4,16,4,1
50,Rhonda Lee,31,OnePlus,OnePlus 11R,574.7,CAD,1.38,5,Positive,Canada,English,2023-03-21,True,5,4,2,5,5,4,BestBuy,6.355586691681764,2,1,2,1,3,7,2,1
53,Bento Guerra,30,Google,Pixel 6,700.1,BRL,5.7,5,Positive,Brazil,Portuguese,2024-04-01,True,3,3,4,5,4,3,Flipkart,6.552650530212922,2,1,2,1,1,10,1,1
54,Ashley Lee,48,Google,Pixel 8,1048.91,AUD,1.53,3,Positive,Australia,English,2025-02-01,True,4,2,1,5,3,4,store,6.956459725192175,2,1,2,1,1,12,0,1
55,Logan Sami,18,OnePlus,OnePlus Nord 3,473.95,INR,83.0,5,Positive,India,Hindi,2023-08-03,True,5,2,2,3,3,6,store,6.1632095353361915,2,1,2,1,3,9,4,1
56,Ravi da Cruz,39,OnePlus,OnePlus 11R,366.5,BRL,5.7,4,Positive,Brazil,Portuguese,2023-02-16,False,5,4,2,3,4,3,Flipkart,5.906723318652891,2,0,2,0,3,7,1,1
58,Dr. Tracy House DVM,18,Motorola,Moto G Power,355.65,CAD,1.38,3,Neutral,Canada,English,2023-07-07,True,3,1,4,1,4,8,Amazon,5.876754908724047,1,1,1,1,2,6,2,1
59,John Hancock,36,Xiaomi,Redmi Note 13,211.23,AED,3.67,5,Positive,UAE,English,2023-01-21,False,4,4,3,5,3,4,eBay,5.357670592247549,2,0,2,0,6,17,5,1
62,Mohammed Gupta,36,Realme,Realme Narzo 70,270.27,INR,83.0,5,Positive,India,Hindi,2024-01-25,True,3,4,4,3,5,2,BestBuy,5.60311463485544,2,1,2,1,4,16,4,1
